0	482
1	482
2	476
3	525
4	482
5	482
6	482
7	482
8	482
9	482
10	482
11	482
12	363
13	482
14	363
15	479
16	288
17	615
18	525
19	482
20	125
21	238
22	482
23	467
24	615
25	362
26	482
27	482
28	482
29	482
30	482
31	482
32	482
33	482
34	406
35	482
36	536
37	479
38	467
39	615
40	525
41	525
42	482
43	615
44	482
45	482
46	615
47	241
48	482
49	482
50	615
51	615
52	525
53	370
54	348
55	120
56	482
57	482
58	615
59	615
60	437
61	396
62	445
63	615
64	225
65	525
66	406
67	214
68	536
69	294
70	615
71	107
72	81
73	396
74	414
75	396
76	615
77	615
78	615
79	482
80	525
81	615
82	283
83	362
84	615
85	615
86	615
87	615
88	615
89	125
90	76
91	615
92	615
93	396
94	615
95	615
96	205
97	615
98	391
99	615
100	536
101	615
102	525
103	365
104	536
105	482
106	287
107	342
108	615
109	469
110	615
111	615
112	99
113	525
114	615
115	615
116	482
117	525
118	396
119	615
120	615
121	615
122	615
123	81
124	615
125	615
126	615
127	615
128	379
129	615
130	615
131	615
132	468
133	536
134	476
135	476
136	615
137	615
138	615
139	615
140	525
141	241
142	467
143	615
144	414
145	615
146	615
147	615
148	615
149	615
150	615
151	615
152	396
153	615
154	467
155	225
156	536
157	615
158	615
159	42
160	536
161	615
162	615
163	615
164	615
165	615
166	615
167	615
168	525
169	401
170	615
171	406
172	615
173	536
174	306
175	536
176	108
177	402
178	536
179	396
180	114
181	615
182	536
183	536
184	615
185	615
186	615
187	615
188	615
189	369
190	112
191	396
192	187
193	525
194	536
195	536
196	525
197	615
198	525
199	615
200	615
201	615
202	304
203	525
204	406
205	615
206	615
207	341
208	615
209	615
210	615
211	615
212	615
213	615
214	615
215	536
216	330
217	402
218	279
219	615
220	311
221	615
222	615
223	364
224	615
225	615
226	536
227	437
228	183
229	525
230	144
231	247
232	615
233	615
234	615
235	615
236	536
237	615
238	536
239	615
240	396
241	615
242	615
243	615
244	615
245	536
246	615
247	615
248	445
249	330
250	525
251	615
252	536
253	615
254	22
255	294
256	35
257	615
258	615
259	536
260	615
261	615
262	332
263	169
264	185
265	525
266	615
267	615
268	35
269	39
270	355
271	396
272	615
273	615
274	615
275	370
276	615
277	536
278	615
279	615
280	615
281	615
282	615
283	615
284	525
285	615
286	536
287	536
288	615
289	536
290	396
291	615
292	615
293	615
294	615
295	615
296	615
297	615
298	61
299	61
300	536
301	615
302	615
303	615
304	536
305	97
306	536
307	525
308	615
309	615
310	615
311	51
312	61
313	615
314	615
315	330
316	330
317	525
318	615
319	615
320	244
321	99
322	615
323	615
324	615
325	12
326	615
327	615
328	615
329	615
330	525
331	536
332	536
333	92
334	525
335	615
336	525
337	35
338	615
339	536
340	615
341	615
342	536
343	615
344	615
345	615
346	101
347	396
348	615
349	615
350	536
351	25
352	615
353	615
354	355
355	525
356	525
357	525
358	39
359	615
360	525
361	615
362	615
363	615
364	615
365	615
366	355
367	355
368	615
369	443
370	432
371	241
372	414
373	239
374	615
375	49
376	396
377	267
378	615
379	525
380	311
381	379
382	525
383	615
384	615
385	615
386	536
387	536
388	536
389	615
390	615
391	615
392	396
393	536
394	615
395	536
396	525
397	525
398	615
399	615
400	615
401	615
402	615
403	536
404	615
405	536
406	536
407	615
408	615
409	615
410	146
411	379
412	48
413	180
414	414
415	101
416	67
417	615
418	615
419	137
420	536
421	379
422	325
423	615
424	355
425	536
426	615
427	615
428	615
429	615
430	525
431	615
432	525
433	615
434	525
435	615
436	615
437	615
438	363
439	355
440	615
441	615
442	525
443	272
444	615
445	77
446	334
447	355
448	615
